IFAD Option,# of Spots Available ,Students interested in the following career field(s) would most benefit: ,Company/Organization/ Agency Name,Job Title,Website,"Description of Company/Organization/Agency (provided by the host)
",What can you expect from meeting with this host? (provided by the host),Company/Org Physical Address,"Work City, State, Zip Ex: College Park, MD, 20742",DC metro accessible (train or bus) from College Park?,Federal government agency or federal contractor,Require that the student is a US Citizen?,Required to complete and pay for a background check?,What days of the week would work best with your availability?,"Available during Spring Break from March 16-23, 2025.",UMD's Alumni?,Is there any more information you would like to share?
60-minute virtual informational interviews,10,"Education,Health and Healthcare,NonProfit and Social Services, Psychology",The Shafer Center,Operations Specialist,www.theshafercenter.com,"The Shafer Center is an early intervention center for children with autism, We are a non public school and we work with kids ranging between kindergarten and fifth grade. Our mission is to help our kids gain skills so that they can craft life that is meaningful and purposeful to them.","Students can expect to learn about our mission, values and our programming. They will be able to ask questions about our programs a d hear stories about our students.",11500 Cronridge Dr,Owings Mills MD 21117,,,,,,Yes,No,
60-minute virtual informational interviews,10,"Education,NonProfit and Social Services Applied Behavior Analysis, Psychology, Special Education",Ivymount,Clinical Coordinator (virtual),www.ivymount.org,"The Ivymount Organization, is a nonprofit organization that provides trusted educational, therapeutic, and professional services and products that invest in the abilities of neurodivergent children and young adults.  

For six decades, Ivymount School has been a pioneer in special education, developing innovative and comprehensive programs and services. We nurture student achievement and autonomy to help our learners live their most meaningful lives. Since our founding, Ivymount School has served more than 8,000 students through our unique blend of individualized, evidence-based student support, innovative staff committed to growing the field of special education, and our caring community of families and partners.

Our diverse student body of approximately 200 students includes autistic individuals and individuals with other developmental disabilities, intellectual and learning disabilities, other health impairments, specific learning disabilities, and speech and language impairments.  

In addition to creating our own education and outreach programs, the Ivymount Organization forms partnerships with outside organizations and researchers, provides training and practicum, and contributes to special education best practices and thought leadership. 
","Do you have an interest in working with neurodiverse children/young adults, or in the fields of psychology (Applied Behavior Analysis) and/or Special Education? The Ivymount School is a renowned nonpublic special education day school for students with autism and related disorders, kindergarten through age 21.  Ivymount provides staff with exceptional training and opportunities for professional growth in the areas of special education, psychology, and applied behavior analysis.   Come spend a day at Ivymount and see first hand the impact you can have as an ABA Therapist in one of our classrooms.  You will have the opportunity to spend time observing in our classrooms and to hear more about our extensive staff training model and opportunities available for recent college graduates.",11614 Seven Locks Rd.,"Rockville, MD 20854",,,,,Any weekday (Mon-Fri),Yes,No,
60-minute virtual informational interviews,10,Health and Healthcare,Revive Physical Therapy,Physical Therapist/ owner,www.revive-pt.com,Students will be observing the physical therapy tech as well as the physical therapist,They will see first hand physical therapy tech and therapist work closely with therapists,4920 Waterloo Road,"Ellicott city, Md 21042",,,,,,Yes,No,
In-person,1,"Agriculture/Environment,Government and International Relations,Policy and Advocacy,Science and Research",CropLife America,"Senior Manager, Federal Government Relations",https://www.croplifeamerica.org/,"CropLife America represents the developers, manufacturers, formulators, and distributors of plant science solutions for agriculture and pest management in the United States. CropLife America’s member companies produce, sell, and distribute virtually all the necessary and vital organic and non-organic pesticide and biotechnology products used by American farmers. CropLife America works very closely with other agricultural groups in and outside Washington, D.C. to support science-based agricultural policy solutions.","I work on the federal government relations team within CropLife America, so my day-to-day experience is mostly focused on educating and advocating key stakeholders on important agricultural policy. Some days are mostly spent on Capitol Hill meeting with Members of Congress and their staff, while some days are more focused on meeting with other agricultural groups off Capitol Hill where we discuss strategy and align on policy. If you were to join me for a day, I would love to give you a tour of our office in Ballston, Virginia (Arlington), have you meet and hear from our staff, and have you come along to meetings on and off the Hill with other agricultural groups.",4201 Wilson Boulevard Suite 700,"Arlington, VA 22203",Yes,No,,No,,,Yes,
In-person,1,"Agriculture/Environment,Government and International Relations,Science and Research",USDA Animal Plant Health Inspection Service,Director- Division of Biodefense and Security,https://www.aphis.usda.gov/,I've worked for the Animal and Plant Health Inspection Service for the USDA for nearly 20 years. I'm trained as an entomologist and did a post doc at UMCP which eventually led to a career in government service. APHIS is a science-based agency. I'm running APHIS's newest division- the Division of Biodefense and Security. We came online November 2023 and are now fully staffed.,"I can provide a good introduction to APHIS and our mission, having served in many different parts of the agency. I can also discuss the specific work that my team does.",4700 River Road,"Riverdale, MD 20737",Yes,Yes,,No,,,No,No
In-person,1,"Architecture/Real Estate,Health and Healthcare",CRGA Design,Marketing Coordinator & Content Writer,https://crgadesign.com/,"CRGA Design is a comprehensive architecture, interior design, and planning firm dedicated to the practice of healthcare facility design. With over 40 years of experience in the industry, we partner with many major healthcare systems in the Mid-Atlantic region and maintain long-standing relationships with our clients built on trust and success. Our team is comprised of driven and passionate professionals who work in a collaborative setting to provide clients with effective and environmentally friendly healthcare solutions.","I will provide a tour and rundown of the organization before I pass shadowing students to a junior architect who will go into greater detail on workflow, project management and day to day activities as they pertain to architecture and interior design. Students will be given insight into cutting-edge technology, sustainable design practices, and the collaboration that goes into every one of our healthcare design projects.","37 West Cross Street, Suite 300","Baltimore, Maryland 21230",Yes,No,Yes,No,,Yes,No,NA
In-person,1,Business,DKT International,CFO,www.dktinterN/AtioN/Al.org,"DKT International is headquartered in Farragut Square in Washington, DC and DKT focuses on: 1) Increasing availability and affordability of quality modern birth control methods by strengthening the supply chain and improving method mix variety 2) Increasing capacity of health providers to offer high quality health care through training and support for clinic networks 3) Increasing demand for reproductive health products and services through media and educational campaigns",The student will shadow the CFO and Headquarters Finance Team and be assigned small projects during the day in which the student will learn more about DKT and it's mission and pick up Finance and Accounting learning moments.,1001 Connecticut Ave NW Ste 800,"Washington, DC 20036",Yes,No,No,No,Any weekday (Mon-Fri),Yes,Yes,
In-person,1,"Business,Health and Healthcare",Smithsonian Institution,archaeologist,https://N/Aturalhistory.si.edu/,"The National Museum of Natural History's mission is to promote understanding of the natural world and our place in it. The museum’s collections tell the history of the planet and are a record of human interaction with the environment and one another. 
 
 On any given day, our scientists conduct research in our laboratories and at sites around the globe. Boundless curiosity drives them to explore Earth, the species that depend upon it, the cultures that inhabit it, and the forces that alter it. Their work underpins our understanding of critical issues of our time, from conservation to public health, climate change to food security.
 
 We steward a collection of 148 million specimens and artifacts. Each one reflects a moment in space and time; in these moments we find Earth’s story. And our researchers continue to glean critical new information from these objects. These discoveries about the past help us model and anticipate the future.
 
 Our exhibits, our educational programs, and our staff and volunteers share our collections and the knowledge drawn from them with millions of visitors every year – deepening their appreciation for science, the natural and cultural world, and the challenges of our time.","The student may experience attending meetings, conducting research, or engaging in outreach activities.","NMNH, 10th Street & Constitution Avenue NW","Washington, DC 20013",Yes,Yes,Yes,,"Tues,Wed,Thurs",Yes,No,
In-person,1,"Business,Health and Healthcare",Inpatient Surgical Consultants,General Surgeon,www.inpatientsurgery.com,"Inpatient Surgical Consultants was founded in 2006 by Jason Brodsky, MD, FACS and Joshua Felsher, MD, FACS. Since that time, our general surgeons have provided Montgomery County’s premier acute general surgical care. The ISC mission is to provide compassionate, state of the art emergent and urgent surgical care. ISC offers the complete spectrum of general, laparoscopic and robotic procedures to our patients. In addition to our role as a leader in the healthcare community, ISC is dedicated to surgical education and innovation. Our surgeons are on faculty at The George Washington University School of Medicine and Health Sciences. ISC surgeons and staff are committed to our patients and the delivery of quality general surgical care. We welcome you to our practice.","Students pursuing any pre health program (medicine, PA, nursing, biomedical engineering, etc.) would benefit from this in-person experience. As an acute care general surgeon, your shadowing experience would include rounding on patients in the hospital with me and accompanying me to the operating room for any cases done the day you shadow.",9715 Medical Center Dr #233,"Rockville, MD 20850",Yes,No,Yes,,Saturday/Sunday,Yes,No,
In-person,1,"Computing/Computer Science and Technology ,Consulting,NonProfit and Social Services",Montgomery County police Department,Police Officer,Montgomery County Government,Montgomery County Police Department serves a very diverse population in a very diverse urban and rural environment. Officers in our department handle many calls for service from property crimes to people crimes.,The student will see a day in the life of a police officer as the officers responds to calls for service. From minor incidents to serious incidents in nature.,4823 Rugby Ave,"Bethesda , MD 20814",Yes,No,Not Found,,Any day depending on my schedule,Yes,Yes,
In-person,1,"Consulting, Government and International Relations, Nonprofit and Social Services, Policy and Advocacy, Non-scientific Research",Enterprise Community Partners,Senior Investor Relations Analyst,https://www.enterprisecommunity.org/,"With 40 years of experience in addressing America’s massive shortage of affordable rental homes, Enterprise is the only national nonprofit that does it all – solutions, capital and community development – under one roof. My division helps our investors find affordable housing developments all over the country to invest in. These projects help families, seniors, veterans, disabled, formerly homeless and main more populations.","Each day I work on projects at different stages of being shown to our investors. This includes first pervious with them, through the financial closing on our projects. In addition, I can be working on crafting the stories our investor needs to hear to working on underwriting the financials that investors need to approve for projects.",11000 Broken Land Pkwy,"Columbia, MD 21044",No,No,No,,"Mon,Thurs",Yes,,
In-person,1,Education,American University,"Assistant Director, Undergraduate Academic Advising",www.american.edu,I work with students majoring in International Studies at American University but this is a good fit for anyone interested in academic advising in general.,"I assist college students with creating their academic plans for completing their major and degree requirements.  I also provide holistic support of their college experience by suggesting other curricular, co-curricular, and self-care resources as needed.  Someone in my job needs empathy, attention to detail, and strong referral skills.  A person shadowing me would see individual 30-minute appointments with students and other interactions and activities relevant to my job.",4400 Massachusetts Avenue,"Washington, DC 20016",Yes,No,,,"Mon,Tues,Wed",Yes,Yes,
In-person,1,Education,First Generation College Bound,Administrator,www.fgcb.org,"First Generation College Bound is a non-profit organization that has existed for 34 years. This year will be our 35th year in the community. We are in nine high schools in Prince George's County. We also, advise other students outside of the county. You will be working with the College Access Coach, the complete day. FGCB work to inspire youth from low-income and first generation families to achieve social and economic to achieve social and economic success by providing advice, encouragement, and support in obtaining a college degree. The College Access Coach focuses on College Readiness/Advisement and Program development of activities for students.","As an intern, you will have the opportunity to shadow a College Access Coach at one of our partner schools in Prince George’s County. Our College Access Coaches mentor a cohort of 90 students in 10th, 11th, and 12th grades, helping them navigate the path to higher education. Through this internship, you will gain insight into: • Supporting low-income, first-generation students in making college affordable • Understanding family dynamics that impact college access • Addressing social and emotional challenges faced by students • Advocating for educational opportunities for low-income students This opportunity is ideal for students interested in careers related to: Education, Nonprofits, Social Work, Psychology, First-Generation College Students, Low-Income Communities, and High School Student Support.","8101 Sandy Spring Road, S-230","Laurel, MD 20707",Yes,No,No,Yes,"Tues,Thurs",Yes,No,no
In-person,1,"Health and Healthcare,Science and Research",Montgomery County,Supervisory Social Worker,Montgomery County Maryland,"Montgomery County, Department of Health and Human Services, Child and Adolescent School and Community Based Services provides a range of services including behavioral health referral, case management, community programming, consultation to support success in school. I provide shared oversight for a subset of these functions over a wide geographic area within Montgomery County.","Likely to observe meetings for coordination of services, immediate problem solving, improvement of services, complex case consultation, etc.","1401 Rockville Pike, 3rd Floor","Rockville, Maryland 20852",Yes,No,,,Any weekday (Mon-Fri),Yes,Yes,
In-person,1,Museums and Library Services,University of Maryland Libraries,Collection Strategies Archivist,https://www.lib.umd.edu/collections/special,"Special Collections & University Archives (SCUA) is a place where students and researchers visit to conduct primary source research using historical documents. There are several specializations in SCUA: University Archives, Broadcasting and journalism, state of Maryland, Labor History, Post-war Japan, Performing Arts, Historic Preservation, Literature and rare books, and Women's history. A staff of about 20 archivists, plus students and volunteers, work to provide access to these unique resources year round.","I work on the Access Team in SCUA which works on a variety of projects to make physical and digital special collections available and accessible to the public, both in our Reading Room and online. Students will get a behind the scenes tour of Special Collections, specific to the accessioning of materials for all our collecting areas. They will meet some other archives staff during the day, and see the day to day activities of the department including reference services, collection management, and student projects.","4130 Campus Drive, Hornbake Library","College Park, MD 20740",Yes,No,,No,,,No,
In-person,1,"Museums and Library Services, Japanese Studies",UMD Libraries,Curator; East Asian Studies Librarian,https://capitaljewishmuseum.org/,The Gordon W. Prange Collection is part of Special Collections and University Archives at the University of Maryland Libraries.  It is an archive of Japanese print publications.  Good for students who are interested in learning the Library science field as well as for students in a Japanese Language program.,"- mini exhibition installation
- archival materials processing, such as shifting boxes, creating inventories, going through boxes with unprocessed materials and come up with processing plan
- Understand the Special Collections' reading room operation by shadowing the curator
- Learn how the reference inquiries are researched and answered
- Shadow stack tours and provide feedback
- Observe the library literacy sessions and provide feedback
- Participate in outreach program via social media platforms
- Process newly acquired collections
- Meet with other staff members and students working in the Special Collections and University Archives",4200 Hornbake Library North,College Park,Yes,No,,,"Mon,Tues,Wed,Fri",No,Yes,
In-person,1,"NonProfit and Social Services,Sports and Recreation",Fellowship of Christian Athletes,Director,www.fca.org,"Fellowship of Christian Athletes at University of Maryland is a Christian organization that seeks to lead every coach and athlete into a growing relationship with Jesus Christ and his church. We offer large and small group Bible studies, team chapels as well as one on one prayer and discipleship. We desire to help coaches and athletes keep perspective in the ever changing landscape of collegiate athletics and to understand that they are so much more than their sport.",Students will shadow me during a typical day of working with teams to working with individuals or small groups. They may attend a practice with me and or travel around campus to the various athletic venues depending on the day.,Xfinity Center,"College Park, MD 20704",Yes,No,,No,,No,No,
In-person,2,"Agriculture/Environment,Data Science and Data Analytics,Government and International Relations",UFA Inc,CFO,ufainc.com,"We provide high-end simulation tools for training Air Traffic Controllers. This opportunity is best suited for someone interested in Accounting, Finance or Air Traffic Control.",exposure to the finance operations and accounting systems,20410 Observation Dr #200,Germantown MD20876,No,Yes,#N/A,,"Tues,Wed,Thurs",No,Yes,
In-person,2,"Architecture/Real Estate,Engineering",Georgetown University,Executive Director of Engineering and Utilities,https://facilities.georgetown.edu/energy-utilities/,"The Department of Engineering and Utilities manages the procurement and distribution of electricity, natural gas, and domestic water, and the production and distribution of chilled water and steam for Georgetown University. The team also provides consultative professional engineering support to the campus.","Students may experience the activities related to running the facility and utility systems of a major research University, executing energy efficiency projects, and supporting large construction projects like new building construction. This experience would provide students with a unique perspective on the lifecycle of projects, an experience with a district energy system, and insight into how engineering and construction projects get executed in real life.","3700 O ST NW, Leavey Center P-2","WASHINGTON, DC 20057",Yes,No,,,"Mon,Tues,Thurs,Fri",Yes,Yes,
In-person,2,Business,NASA Goddard Space Flight Center,Deputy Mission Systems Engineer,https://www.N/Asa.gov/content/goddard/N/Ancy-grace-roman-space-telescope,"The Roman Space Telescope is an Astrophysics mission that will study topics in dark energy, dark matter and exoplanets. The Mission is led by the Goddard Space Flight Center. Many of the subsystems are being developed in-house and the major integration activities will occur there as well. The Project is currently in the implementation phase, meaning that hardware is being built and delivered to the Integration and Test facility. The Systems Engineering team is focused on test planning to verify that the Mission will be successful.","Potential activities include:
 - Touring the integration and test facilities 
 - Observing integration work on flight hardware elements
 - Sitting in on working meetings for System-level test planning
 - Having one-on-one discussion opportunities with various discipline leads (e.g. Mechanical, Electrical, Optical, Thermal, Modeling)",8800 Greenbelt Road,"Greenbelt, MD 20771",Yes,No,Yes,,Any weekday (Mon-Fri),Yes,Yes,
In-person,2,"Business, Government and International Relations",Maryland Judiciary,"Supervisor, Talent Acquisition",mdcourts.gov,"About the Maryland Court System The Maryland court system has four levels: two trial courts and two appellate courts. The trial courts consider evidence presented in a case and make judgments based on the facts, the law and legal precedent (prior legal decisions from a higher court). Appellate courts review a trial court's actions and decisions and decide whether the trial judge properly followed the law and legal precedent. For a detailed description of Maryland courts, see Maryland's Judicial System (pdf). Courts Appellate Courts Maryland has two appellate courts: the Supreme Court of Maryland, the highest court, and the Appellate Court of Maryland, the intermediate appellate court. These courts review a trial courts (District or Circuit Court) actions and decisions in given cases and decide whether the trial judge properly followed the law and legal precedent. Circuit Court Circuit Courts generally handles more serious criminal cases, major civil cases, including juvenile and other family law cases such as divorce, custody and child support and most cases appealed from the District Court, orphans courts and certain administrative agencies. Circuit courts also hear domestic violence cases. Each County and the City of Baltimore has a circuit court. Cases may involve juries or sometimes are heard by a judge only. District Court Most people experience the court system through the District Court. Cases heard here include motor vehicle (traffic) and boating violations and other misdemeanors and specified felonies, domestic violence and peace order petitions, landlord-tenant disputes, small claims and other civil cases involving limited dollar amounts, and replevin (recovery of wrongfully taken or detained goods). Each county and the City of Baltimore has at least one District Court location. A case in the District Court is argued before a judge only: there are no jury trials in District Court. Orphans Court The Orphans Court is a specialized court that handles wills, estates, and other probate matters and limited aspects of guardianship. Other Bodies in Maryland Office of Administrative Hearings The Office of Administrative Hearings listens to contested executive branch administrative law cases, except for those concerning officials or agencies exempted by law. Federal Courts in Maryland Federal courts are authorized by the U.S. Constitution to deal with issues involving laws enacted by Congress, as contrasted with state courts, which apply the laws of their state and local governments. For more information, see the U.S. Courts' website. Judiciary Units Attorney Grievance Commission oversees the conduct of both Maryland lawyers and nonmembers of the Maryland Bar who engage in the practice of law in the State. Board of Law Examiners administers bar examinations to persons seeking to be admitted to the practice of law. Client Protection Fund maintains the integrity and protects the good name of the legal profession. The Fund, supported financially by practicing attorneys, reimburses claimants for losses caused by theft of funds by members of the Maryland Bar, acting either as attorneys or as fiduciaries. Commission on Judicial Disabilities serves the public in a variety of ways. Its primary function is to receive, investigate and hear complaints against members of the Maryland Judiciary. It also supplies judicial nominating commissions with confidential information concerning reprimands to or pending charges against those judges seeking nomination to other judicial offices. Standing Committee on Rules of Practice and Procedure meets regularly to consider proposed amendments and additions to the Maryland Rules of Procedure and submits recommendations for change to the Supreme Court of Maryland. Thurgood Marshall State Law Library provides access for the law-related information needs of the Judiciary as well as the legal community, government agencies, and the public. Court Administration Administrative Office of the Courts (AOC) provides administrative services for the Maryland Judiciary. These include personnel administration, preparation and administration of the Judiciary's budget, planning and research, and information systems.","The Maryland Judiciary Human Resources Department is located within the Administrative Office of the Courts in Annapolis, Maryland. Our department consists of Employee Relations, Employment Services/Benefits, Talent Acquisition, Classification & Compensation, and HRIS (Human Resources Information Systems). The Intern will be able to meet leaders within Human Resources and other departments, including the State Court Administrator of the Maryland Judiciary. There is also the possibility of meeting other key figures in our organization including department heads and justices.",187 Harry S Truman Parkway,"Annapolis, MD 21401",No,Not Found,,,Wed,Yes,Not Found,
In-person,2,"Business,Communications, Journalism, Media,Sales and Marketing, Real Estate",Agent knows homes,Realtor,https://agentknowshomes.com/,"Full service Real Estate Team/Company that helps clients in Virginia, Maryland and Washington DC to buy and sell residential real estate.  Our goal is to stay present in clients lives in ways to add value so we are there when they need what we do.  Real Estate is often one of the largest assets people own so we aim to help them understand the value and strategy of their real estate as a trusted professional.  Many skills involved are: networking, marketing, communication, negotiating, sales, consultation, and so much more.","Students may be able to join at a networking breakfast of other business professionals and meet vendors and clients as well as learn about key business systems.  In addition, the importance of structure in the day and business will be emphasized.",4031 university dr,"Fairfax, Va 22030",Unsure,No,,,Tues,Yes,Yes,
In-person,2,"Business,Computing/Computer Science and Technology ,Consulting,Data Science and Data Analytics",Department of State,Systems Accountant/Project Manager,state.gov,"Department of state supports diplomacy, helps Americans overseas, helps world-wide health efforts, coordinates with the military, and supports American businesses on trade issues.","Learn more about iner-agency agreements, financial/logistical systems, lease accounting, and project management, as well as the system development life cycle.  
Mix of IT and accounting.  ",1800 N. Kent Street,"arlington, VA 22209",Yes,Yes,,,"Mon,Tues,Wed",Yes,Yes,
In-person,2,"Communications, Journalism, Media,Sales and Marketing, Graphic Design",Crosby Marketing Communications,Visual Designer,https://www.crosbymarketing.com/,"Crosby is an award-winning, fully integrated marketing, advertising, and PR firm. At Crosby, we develop integrated marketing communications programs that help our clients positively impact people’s lives by influencing opinion and motivating behavior change. Our work touches the lives of virtually everyone in America and in communities across the globe – through programs for government agencies, healthcare organizations, nonprofits, causes, and businesses that believe in the power of doing good. Some of our clients include Peace Corps, Dave Thomas Foundation for Adoption, Disabled American Veterans (DAV), US Dept. of Agriculture (USDA), Social Security Administration (SSA), and more. Crosby is ranked #22 on O'Dwyer's list of largest independent PR firms and has been named a Top Workplace by The Washington Post for eight consecutive years.","I work as a Visual Designer within the Creative department at Crosby. You’ll sit in on project meetings and brainstorming sessions, observe how we approach design challenges, and gain insight into the fast-paced, problem-solving nature of agency work. This experience is ideal for students interested in the creative side of marketing, graphic design, or working at a marketing agency. Additionally, I pivoted to a career in graphic design after earning my degree in English. I can speak to the experience of pursuing a career path that isn't directly related to my college major, as well as how diverse skill sets can contribute to a successful career in marketing and creative.",705 Melvin Ave,"Annapolis, MD 21401",No,No,No,No,,Yes,Yes,Students will need to sign a confidentiality agreement before their shadow day.
In-person,2,Education,Eleanor Roosevelt HS (Prince George's County Public Schools),ELD Teacher,www.pgcps.org,"I work for Prince George's County Public Schools, specifically at Eleanor Roosevelt High School.  Our school is grades 9-12 and has a diverse student body housed at one of the largest high schools in the state.",I teach the ESOL/ELD population (multilingual learners) at our school.  I teach a variety of classes from newcomers through intermediate/advanced language learners.  I have several periods where I am the primary teacher and several periods where I co-teach in a math classroom for ELD students.,7601 Hanover Parkway,"Greenbelt, MD 20770",Yes,No,,,Any weekday (Mon-Fri),Yes,Yes,
In-person,2,"Education,",NOAA,Physical Scientists,https://tidesandcurrents.noaa.gov/,"NOAA's Center for Operational Oceanographic Products and Services (CO-OPS) is the authoritative source for accurate, reliable, and timely tides, water levels, currents, and other coastal oceanographic and meteorological information. Our services support safe and efficient maritime commerce and transportation, help protect public health and safety, and promote robust, resilient coastal communities. CO-OPS maintains ocean observing infrastructure, including more than 200 permanent water level stations on the U.S. coasts and Great Lakes, an integrated system of real-time sensors concentrated in busy seaports, and temporary meters that collect observations for tidal current predictions. Through these systems, we provide the nation with historic and real-time data, forecasts, predictions, and scientific analyses that protect life, the economy, and the environment on the coast.","NOAA's Center for Oceanographic Operational Products and Services, Business Operations Division is responsible for managing and executing administrative, human resource, finance, and contract actions to strengthen the nation’s navigational and oceanographic products and services. We can offer an intern a unique experience that includes an introduction to tasks required to support the collection and publication of oceanographic observations and applied coastal, climate, and ecosystem applications. Students interested in government, business administration, budget/finance, and STEM fields may find this opportunity unique and engaging.",1305 East West Highway,"Silver Spring, MD 20910",Yes,Yes,,,"Tues,Wed,Thurs",Yes,No,
In-person,2,"Education, Languages, Literatures, Cultures",Language House Living Learning Program,Director of the Language House Program,https://sllc.umd.edu/special-programs/language-house,"The Language House is a Living Learning Program at the University of Maryland. The program focuses on language and culture immersion. Students join one of eleven language clusters, where they live and learn together in the target language. Native-speaking mentors provide additional learning opportunities through weekly structured cluster activities.","As an intern at the Language House, depending on the day, you may assist with planning / setting up for cultural events, support language mentorship, contribute to program planning for immersive learning, or help with outreach and promotion. Whether your interests lie in education, language learning, event planning, or cultural programming, this hands-on experience offers valuable insight into language immersion and cross-cultural engagement.","University of Maryland, St Mary's Hall","College Park, MD 20740",Yes,No,No,No,,No,Yes,
In-person,2,"Education, NonProfit and Social Services","Collegiate Directions, Inc.","Director, Scholars Program",https://collegiatedirections.org/,"Since 2005, Collegiate Directions, Inc. has worked to reduce the achievement and opportunity gap for first-generation-to-college students from low-income households with a series of programs designed to help them maximize their potential and ensure they are equipped with the academic, financial, and social-emotional tools necessary to successfully graduate from college and prepare for the world of work. Ours is a high-touch model that begins in 10th grade when Scholars are assigned a CDI counselor who initiates a series of wraparound services that include study skills workshops, test preparation, college application assistance, development of tailored college lists, financial aid application support, and ongoing assistance and leadership throughout college. CDI’s wellness counseling is offered to every high school student enrolled in the Scholars Program to help them address and work through a range of personal issues. Our career mentorship program provides a deep, ongoing impact that focuses on career coaching and access to workforce opportunities through experiential learning. With more than 450 students having participated in our Scholars Program and thousands more reached by our School Support program in which we share our best practices to help equip high school college counselors with the knowledge necessary to get their students on the path to a degree, CDI has developed a model for student success that defies conventional wisdom and outpaces national averages. According to the Pell Institute, only 16-percent of low-income, first-generation-to-college students graduate from college within six years. For CDI Scholars in this same demographic, 89-percent graduate from college. Beyond preparing our Scholars for the academic rigor of college, CDI emphasizes the importance of developing them as well-rounded, responsible, productive citizens. Each year CDI Scholars develop and implement a service project to lend their support to those in need. In one such project, Scholars raised more than $2,000 and secured miscellaneous supplies to assist students at a school in Sierra Leone. Because CDI enters the lives of our Scholars at a period of transition from high school to college and follows them through college, helping them move onto their career paths, we know the challenges they face in the best of times, and how personal issues can make their journey even more difficult. As a result, CDI invests significant time, effort, and energy into the mental health and well-being of our Scholars. In recent years we have expanded our mental health offerings and staff to permit each Scholar more time to meet one-on-one with a wellness counselor. The results CDI achieves are the result of a strategy cultivated over the past 15 years that rests on the bedrock principle that potential cannot turn into opportunity without support, and without support, opportunity cannot turn into success. At CDI, support is infused into everything we do and is the common thread that allows us to produce remarkable results. Scholars and their families are supported by CDI which is supported by generous individual donors and forward-thinking organizations whose support has allowed for the expansion of our core offerings beyond the classroom. Even in the face of new challenges CDI’s critical work continues as we collectively embrace our Scholars and move forward together, toward a brighter, more hopeful tomorrow where they can achieve all that is possible.","A student can expect to learn and experience the following: - Workshops for High School Students focused on financial literacy or college application related content - Observe student engagement in workshops, one-on-one sessions. - Learn about the distinct services provided at the organization including the wellness services provided by licensed social workers, career mentoring support provided by the organization and volunteer mentors, and the outreach the organization does Overall, an intern will gain knowledge in supporting first-generation students through key aspects of their college journey.",4827 Rugby Avenue Suite 001,"Bethesda, MD 20814",Yes,No,No,No,Tues,Yes,No,
In-person,2,"Education,Hospitality and Tourism,Museums and Library Services,NonProfit and Social Services",Chesapeake Children's Museum,Executive Director,www.theccm.org,"Every day is different! There are meetings with community partners, group field trips, family programs, exhibit enhancements, facilities repairs, paperwork . . .","Exhibits and programs are all based on child development and learning theory to promote engagement with the subject matter in an age appropriate manner.
We also use social dynamics and opportunities to employ creative thinking skills in our hands-on activities.
The executive director position involves oversight and support for a variety of other roles so there's plenty of variety in daily tasks!
We work with many community partners to plan events, group workshops, and other projects.",25 Silopanna Road,Annapolis,Unsure,No,,,"Any weekday (Mon-Fri),Other:",No,Yes,
In-person,2,"Education,Science and Research",Anne Arundel County Public Schools South River High School,Teacher - Science,https://www.southriverhigh.org/,"South River High School is part of the Anne Arundel County Public School system. We are a large school of around 1800 students. I teach science, with a focus on chemistry. One course I teach is an accelerated integrated science course taught from a systems perspective, with mostly 9th grade students. This course is a unique two year course, with students earning credits in biology, chemistry, and physics at the end. It is required as part of our STEM magnet program. I also teach AP Chemistry to mostly 12th grade students, and honors chemistry to mostly 10th grade students. I am a UMD grad (2010)!","Students who visit will see a day in the life of a typical high school teacher. I use an integrated teaching approach with a focus on student to student interaction. My teaching emphasizes hands-on, experiential learning. I incorporate creative elements, like art and games, to make engaging lessons. Interns would gain practical insights into classroom management and creating a positive learning environment that encourages curiosity and critical thinking. They would see collaboration with other teachers, managing administrative tasks, analysis of student data to drive instruction, and how I manage mentoring and supporting students.",201 Central Ave East,"Edgewater, MD 21037",No,No,,,Any weekday (Mon-Fri),Yes,Yes,
In-person,2,Engineering,"GUtschick, Little & Weber P.A.","Principal, Professional Engineer",https://glwpa.com/,"Engineering support begins at the earliest stages of a project by assisting our planning team with feasibility studies and conceptual site design. Using the very latest applications and techniques available, our engineers research, conceptualize and “engineer” a project to point it in the right direction. As it moves forward through the process, we focus on value engineering and creative designs, resulting in plan and permit approvals within your construction timeline. We excel at feasibility studies, conceptual dry utility design, water and sewer design, stormwater management / environmental site design, sediment and erosion control design, street grade establishment plans, and storm drain and paving plans are all precisely prepared and processed to obtain the necessary permits for each phase of construction. Our staff is also capable of taking over projects that have not stayed on the desired development schedule and get them back on track to meet your desired goals. Our designers work with the agencies at all levels for plan approvals and permits and are always available to assist you as construction progresses.","Students pursuing Civil Engineering degrees who want to pursue a design career would fit in well at GLW as we assist local and national developers with designing their land development projects. Landscape Architecture students would also fit in well as each project requires numerous environmental, planning and landscape architecture analyses. Our Engineers design residential, commercial and industrial developments throughout the region. These developments are small and large as we meet our client's needs.The design efforts include site layout and grading, road design, storm drain and stormwater management design, water & sewer design in addition to sediment and erosion control design.","3909 National Drive, Suite 250","Burtonsville, Maryland 20866",Unsure,No,No,No,,Yes,Yes,
